,Premises - NL,Conclusions - NL,Truth Values,Premises - FOL,Conclusions - FOL,Comments,Verified by Prover
0,"There are six types of wild turkeys: Eastern wild turkey, Osceola wild turkey, Gould’s wild turkey, Merriam’s wild turkey, Rio Grande wild turkey, and Ocellated wild turkey.
Tom is not an Eastern wild turkey.
Tom is not an Osceola wild turkey.
Tom is not a Gould's wild turkey.
Tom is neither a Merriam's wild turkey nor a Rio Grande wild turkey.
Tom is a wild turkey.","Tom is an Ocellated wild turkey.
Tom is an Eastern wild turkey.
Joey is a wild turkey.","T
F
U","∀x (WildTurkey(x) → (EasternWildTurkey(x) ∨ OsceolaWildTurkey(x) ∨ GouldsWildTurkey(x) ∨ MerriamsWildTurkey(x) ∨ RiograndeWildTurkey(x) ∨ OcellatedWildTurkey(x)))
¬(EasternWildTurkey(tom))
¬(OsceolaWildTurkey(tom))
¬(GouldsWildTurkey(tom))
¬(MerriamsWildTurkey(tom) ∨ RiograndeWildTurkey(tom))
WildTurkey(tom)","OcellatedWildTurkey(tom)
EasternWildTurkey(tom)
WildTurkey(joey)","extra brackets?
Gould's or Goulds?
Merriam's or Merriams?",
1,"Mary has the flu.
If someone has the flu, then they have influenza.
Susan doesn't have influenza.",Either Mary or Susan has influenza.,T,"Has(mary, flu)
∀x (Has(x, flu) → Has(x, influenza))
¬Has(susan, influenza)","Has(mary, influenza) ⊕ Has(susan, influenza)",,
2,"Billings is a city in the state of Montana in U.S.
The state of Montana includes the cities of Butte, Helena, and Missoula.
White Sulphur Springs and Butte are cities in the same state in U.S.
The city of St Pierre is not in the state of Montana.
Any city in Butte is not in St Pierre.
A city can only be in one state in U.S.  except for Bristol, Texarkana, Texhoma and Union City.","Butte and St Pierre are in the same state.
St Pierre and Bismarck are in the same state.
Montana is home to the city of Missoula.","F
U
T","City(billings) ∧ In(billings, montana)
City(butte) ∧ In(butte, montana) ∧ City(helena) ∧ In(helena, montana) ∧ City(missoula) ∧ In(missoula, montana)
∃x (City(whitesulphursprings) ∧ In(whitesulphursprings, x) ∧ City(butte) ∧ In(butte, x))
City(pierre) ∧ ¬(In(pierre, montana))
∀x ((City(x) ∧ City(butte) ∧ In(x, butte)) → ¬(In(x, pierre)))
∀x ∃y ((City(x) ∧ (In(x, y) ∧ ¬(x=bristol) ∧ ¬(x=texarkana) ∧ ¬(x=texhoma) ∧ ¬(x=unionCity)) → ¬∃z (¬(z=y) ∧ In(x, z)))","∃x (In(butte, x) ∧ In(stPierre, x))
∃x (City(pierre) ∧ In(pierre, x) ∧ City(bismarck) ∧ In(bismarck, x))
City(missoula) ∧ In(missoula, montana)",,
3,"Fort Ticonderoga is the current name for Fort Carillon.
Pierre de Rigaud de Vaudreuil built Fort Carillon.
Fort Carillon was located in New France.
New France is not in Europe.","Pierre de Rigaud de Vaudreuil built a fort in New France.
Pierre de Rigaud de Vaudreuil built a fort in New England.
Fort Carillon was located in Europe.","T
U
U","RenamedAs(fortCarillon, fortTiconderoga)
Built(pierredeRigauddeVaudreuil, fortCarillon)
LocatedIn(fortCarillon, newFrance)
¬LocatedIn(newFrance, europe) ","∃x (Built(pierredeRigauddeVaudreuil, x) ∧ LocatedIn(x, newFrance))
∃x (Built(pierredeRigauddeVaudreuil, x) ∧ LocatedIn(x, newEngland))
LocatedIn(fortCarillon, europe)",,
4,"Sūduva Marijampolė holds the Lithuanian Super Cup.
Sūduva Marijampolė is a soccer team.",Some soccer team holds the Lithuanian Super Cup.,T,"Holds(suduva, theLithuanianSuperCup)
SoccerTeam(suduva)","∃x (SoccerTeam(x) ∧ Holds(x, theLithuanianSuperCup))",,
5,"Peter Parker is either a superhero or a civilian.
The Hulk is a destroyer.
The Hulk wakes up when he is angry.
If the Hulk wakes up, then he will break a bridge.
Thor is a god.
Thor will break a bridge when he is happy.
A god is not a destroyer.
Peter Parker wears a uniform when he is a superhero.
Peter Parker is not a civilian if a destroyer is breaking a bridge.
If Thor is happy, the Hulk is angry.","If the Hulk does not wake up, then Thor is not happy. 
If Thor is happy, then Peter Parker wears a uniform. 
If Thor is not happy, then no bridge will be broken. ","T
T
U","Superhero(peterParker) ⊕ Civilian(peterParker)
Destroyer(theHulk)
Angry(theHulk) → WakesUp(theHulk)
WakesUp(theHulk) → Breaks(theHulk, bridge)
God(thor)
Happy(thor) → Breaks(thor, bridge)
∀x (God(x) → ¬Destroyer(x))
Superhero(peter) → Wears(peter, uniform)
∀x ((Destroyer(x) ∧ Breaks(x,bridge)) → ¬Civilian(peter))
Happy(thor) → Angry(theHulk)","¬WakesUp(theHulk) → ¬Happy(thor)
Happy(thor) → Wears(peterParker, uniform)
¬Happy(thor) → ¬Breaks(thor, bridge)",,
6,"Boves is a railway station located in France. 
The preceding station of Boves is Longueau.
The preceding station of Dommartin is Boves.
France is a European country.
Dommartin is situated on the Paris–Lille railway. 
Any two contiguous stations are on the same railway.
Boves is served by regional TER Hauts-de-France trains.
If place A is located in place B and place B is located in place C, then place A is located in place C.
If place A precedes place B and place B precedes place C, then place A precedes place C.","Longueau is situated on the Paris–Lille railway.
Boves is not in Europe.
Longueau is served by regional TER Hauts-de-France trains.","T
F
U","RailwayStation(boves) ∧ In(boves, france)
Precede(longueau, boves)
Precede(boves, dommartin)
In(france, europe)
SituatedOn(dommartin, pairsLille)
∀x ∀y ∀z ((SituatedOn(x, z) ∧ (Precede(x, y) ∨ Precede(y, x)) → SituatedOn(y, z))
Serve(boves, hautsDeFrance)
∀x ∀y ∀z ((In(x, y) ∧ In(y, z)) → In(x, z))
∀x ∀y ∀z ((Precede(x, y) ∧ Precede(y, z)) → Precede(x, z))","SituatedOn(longueau, pairsLille)
¬In(boves, europe)
Serve(longueau, hautsDeFrance)",,
7,"Six, seven and eight are real numbers.
If a real number equals another real number added by one, the first number is larger.
If the number x is larger than the number y, then y is not larger than x.
Seven equals six plus one.
Eight equals seven plus one.
Two is positive.
If a number is positive, then the double of it is also positive.
Eight is the double of four.
Four is the double of two.","Eight is larger than seven.
Eight is positive.
Six is larger than seven.","T
T
F","RealNum(num6) ∧ RealNum(num7) ∧ RealNum(num8)
∀x ∀y ((RealNum(x) ∧ RealNum(y) ∧ IsSuccessorOf(x, y)) → Larger(x, y))
∀x ∀y (Larger(x, y) → ¬Larger(y, x))
∃y(IsSuccessorOf(y, num6) ∧ Equals(num7, y))
∃y(IsSuccessorOf(y, num7) ∧ Equals(num8, y))
Positive(num2)
∀x ∀y ((Positive(x) ∧ IsDouble(y, x)) → Positive(y))
IsDouble(num8, num4)
IsDouble(num4, num2)","Larger(eight, seven)
Positive(eight)
Larger(six, seven)",,
8,"Miroslav Venhoda was a Czech choral conductor who specialized in the performance of Renaissance and Baroque music.
Any choral conductor is a musician.
Some musicians love music.
Miroslav Venhoda published a book in 1946 called Method of Studying Gregorian Chant.","Miroslav Venhoda loved music.
A Czech published a book in 1946.
No choral conductor specialized in the performance of Renaissance.","U
T
F","Czech(miroslav) ∧ ChoralConductor(miroslav) ∧ SpecializeInPerformanceOf(miroslav, renaissanceMusic) ∧ SpecializeInPerformanceOf(miroslav, baroqueMusic)
∀x (ChoralConductor(x) → Musician(x))
∃x ∃y ((Musician(x) → Love(x, music)) ∧ (¬(x=y) ∧ Musician(y) → Love(y, music)))
PublishedBook(miroslav, methodOfStudyingGregorianChant, yr1946)","Love(miroslav, music)
∃x ∃y (Czech(x) ∧ PublishedBook(x, y, year1946))
∀x (ChoralConductor(x) → ¬SpecializeInPerformanceOf(x, renaissanceMusic))",,
9,"The taiga vole is a large vole found in northwestern North America. 
Cats like playing with all voles.
The taiga vole lives in the boreal taiga zone.
The boreal taiga zone in North America is a cold place to live in.","Cats like playing with taiga vole.
Taiga vole's living place is not cold.","T
F","Vole(taigaVole) ∧ LiveIn(taigaVole, northAmerica)
LikePlayingWith(cat, taigaVole)
LiveIn(taigaVole, borealTaigaZone)
∀x ((LiveIn(x, northAmerica) ∧ LiveIn(x, borealTaigaZone)) → LiveIn(x, coldPlace))","LikePlayingWith(cat, taigaVole)
¬LiveIn(taigaVole, coldPlace)",,
10,"Thick as Thieves is a young adult fantasy novel written by Megan Whalen Turner.
Thick as Thieves was published by Greenwillow Books.
If a book was published by a company, then the author of that book worked with the company that published the book.
The fictional Mede Empire is where Thick as Thieves is set.
The Mede Empire plots to swallow up some nearby countries.
Attolia and Sounis are countries near the Mede Empire.
Thick as Thieves was sold both as a hardcover and an e-book.","Megan Whalen Turner worked with Greenwillow Books.
The Mede Empire plans to swallow up Attolia.
Thick as Thieves is not set in the Mede Empire.
Megan Whalen Turner did not work with Greenwillow Books.","T
U
F
F","YoungAdultFantasy(thickAsTheives) ∧ Novel(thickAsTheives) ∧ WrittenBy(thickAsTheives, meganWhalenTurner)
PublishedBy(thickAsTheives, greenWillowBooks)
∀x ∀y ∀z ((WrittenBy(x, y) ∧ PublishedBy(x, z)) → WorkedWith(y, z))
Fictional(medeEmpire) ∧ SetIn(thickAsTheives, medeEmpire)
∃x ∃y ((Country(x) ∧ Near(x, medeEmpire) ∧ PlotsToSwallowUp(medeEmpire, x)) ∧ (¬(x=y) ∧ Near(y, medeEmpire) ∧ PlotsToSwallowUp(medeEmpire, y)))
Country(attolia) ∧ Near(attolia, medeEmpire) ∧ Country(sounis) ∧ Near(sounis, medeEmpire)
SoldAs(thickAsTheives, hardCover) ∧ SoldAs(thickAsTheives, softCover)","WorkedWith(WhalenTurner, greenWillowbooks)
PlotsToSwallowUp(medeEmpire, attolia)
¬SetIn(thickAsTheives, medeEmpire)
¬WorkedWith(megan, greenWillowbooks)",,
11,"Walter Folger Brown was an American politician and lawyer who served as the postmaster general.
Walter Folger Brown graduated from Harvard University with a Bachelor of Arts.
While they were both in Toledo, Walter Folger Brown's father practiced law with Walter Folger Brown.
Katherin Hafer married Walter Folger Brown.","Walter Folger Brown graduated with a Bachelor of Arts.
Walter Folger Brown's father was in Toledo.
Walter Folger Brown was not in Toledo.","T
T
F","AmericanPolitician(walterBrown) ∧ Lawyer(walterBrown) ∧ ServedAs(walterBrown, postMasterGeneral)
Graduated(walterBrown, harvard) ∧ GraduatedWith(walterBrown, bachelorsOfArt)
∃t(In(walterBrown, toledo, t) ∧ In(walterBrownFather, toledo, t) ∧ PracticedLawTogether(walterBrown, walterBrownFather, t))
Married(katherinHafer, walterBrown)","GraduatedWith(walterBrown, bachelorsOfArt)
∃t(In(walterBrownFather, toledo, t))
∃t(¬In(walterBrownFather, toledo, t))",,
12,"The Croton River watershed is the drainage basin of the Croton River.
The Croton River is in southwestern New York.
Water from the Croton River watershed flows to the Bronx.
The Bronx is in New York.","Water from the Croton River watershed flows to somewhere in New York.
The Croton River watershed is in the Bronx.
Water from the Croton River flows to the Bronx.","T
U
U","DrainageBasinOf(crotonRiverWatershed, crotonRiver)
In(crotonRiver, southwesternNewYork)
∀x ((Water(x) ∧ In(x, crotonRiverWatershed)) → FlowsTo(x, bronx))
In(bronx, newYork)","∀x ((Water(x) ∧ From(x, crotonRiverWatershed)) → ∃y(FlowsTo(x, y) ∧ In(y, newYork)))
In(crotonRiverWatershed, bronx)
∀x (Water(x) ∧ From(x, crotonRiver) → FlowsTo(x, bronx))",,
