input,output,text,sample_id,story_id,occurrence_in_story,truth_value,label,num_steps,source_line,has_folio_context,folio_label,folio_label_mismatch,folio_example_id,conclusion_type,split
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Mary has the flu.
2. If someone has the flu, then they have influenza.
3. Susan doesn't have influenza.

Conclusion:
Either Mary or Susan has influenza.","Reasoning process:
D1. From 1, 2, by universal instantiation: Mary has influenza.
D2. From D1, by disjunction introduction: Either Mary or Susan has influenza.
Truth value: True","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Mary has the flu.
2. If someone has the flu, then they have influenza.
3. Susan doesn't have influenza.

Conclusion:
Either Mary or Susan has influenza.

### Assistant:
Reasoning process:
D1. From 1, 2, by universal instantiation: Mary has influenza.
D2. From D1, by disjunction introduction: Either Mary or Susan has influenza.
Truth value: True",3,1,0,T,True,2,35,True,T,False,3,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Fort Ticonderoga is the current name for Fort Carillon.
2. Pierre de Rigaud de Vaudreuil built Fort Carillon.
3. Fort Carillon was located in New France.
4. New France is not in Europe.

Conclusion:
Pierre de Rigaud de Vaudreuil built a fort in New France.","Reasoning process:
D1. From 2, 3, by conjunction introduction: Pierre de Rigaud de Vaudreuil built Fort Carillon and Fort Carillon was in New France.
D2. From D1, by existential introduction: Pierre de Rigaud de Vaudreuil built a fort in New France.
Truth value: True","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Fort Ticonderoga is the current name for Fort Carillon.
2. Pierre de Rigaud de Vaudreuil built Fort Carillon.
3. Fort Carillon was located in New France.
4. New France is not in Europe.

Conclusion:
Pierre de Rigaud de Vaudreuil built a fort in New France.

### Assistant:
Reasoning process:
D1. From 2, 3, by conjunction introduction: Pierre de Rigaud de Vaudreuil built Fort Carillon and Fort Carillon was in New France.
D2. From D1, by existential introduction: Pierre de Rigaud de Vaudreuil built a fort in New France.
Truth value: True",7,3,0,T,True,2,79,True,T,False,7,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Fort Ticonderoga is the current name for Fort Carillon.
2. Pierre de Rigaud de Vaudreuil built Fort Carillon.
3. Fort Carillon was located in New France.
4. New France is not in Europe.

Conclusion:
Pierre de Rigaud de Vaudreuil built a fort in New England.","Reasoning process:
No conclusive derivation is annotated for this example.
Truth value: Uncertain","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Fort Ticonderoga is the current name for Fort Carillon.
2. Pierre de Rigaud de Vaudreuil built Fort Carillon.
3. Fort Carillon was located in New France.
4. New France is not in Europe.

Conclusion:
Pierre de Rigaud de Vaudreuil built a fort in New England.

### Assistant:
Reasoning process:
No conclusive derivation is annotated for this example.
Truth value: Uncertain",8,3,1,U,Uncertain,0,90,True,U,False,8,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Fort Ticonderoga is the current name for Fort Carillon.
2. Pierre de Rigaud de Vaudreuil built Fort Carillon.
3. Fort Carillon was located in New France.
4. New France is not in Europe.

Conclusion:
Fort Carillon was located in Europe.","Reasoning process:
No conclusive derivation is annotated for this example.
Truth value: Uncertain","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Fort Ticonderoga is the current name for Fort Carillon.
2. Pierre de Rigaud de Vaudreuil built Fort Carillon.
3. Fort Carillon was located in New France.
4. New France is not in Europe.

Conclusion:
Fort Carillon was located in Europe.

### Assistant:
Reasoning process:
No conclusive derivation is annotated for this example.
Truth value: Uncertain",9,3,2,U,Uncertain,0,101,True,U,False,9,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Sūduva Marijampolė holds the Lithuanian Super Cup.
2. Sūduva Marijampolė is a soccer team.

Conclusion:
Some soccer team holds the Lithuanian Super Cup.","Reasoning process:
D1. From 1, 2, by conjunction introduction: Sūduva Marijampolė is a soccer team and Sūduva Marijampolė holds the Lithuanian Super Cup.
D2. From D1, by existential introduction: Some soccer team holds the Lithuanian Super Cup.
Truth value: True","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Sūduva Marijampolė holds the Lithuanian Super Cup.
2. Sūduva Marijampolė is a soccer team.

Conclusion:
Some soccer team holds the Lithuanian Super Cup.

### Assistant:
Reasoning process:
D1. From 1, 2, by conjunction introduction: Sūduva Marijampolė is a soccer team and Sūduva Marijampolė holds the Lithuanian Super Cup.
D2. From D1, by existential introduction: Some soccer team holds the Lithuanian Super Cup.
Truth value: True",10,4,0,T,True,2,112,True,T,False,10,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Peter Parker is either a superhero or a civilian.
2. The Hulk is a destroyer.
3. The Hulk wakes up when he is angry.
4. If the Hulk wakes up, then he will break a bridge.
5. Thor is a god.
6. Thor will break a bridge when he is happy.
7. A god is not a destroyer.
8. Peter Parker wears a uniform when he is a superhero.
9. Peter Parker is not a civilian if a destroyer is breaking a bridge.
10. If Thor is happy, the Hulk is angry.

Conclusion:
If the Hulk does not wake up, then Thor is not happy.","Reasoning process:
D1. From 10, 3, by hypothetical syllogism: If Thor is happy, then hulk wakes up.
D2. From D1, by transposition: If the Hulk does not wake up, then Thor is not happy.
Truth value: True","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Peter Parker is either a superhero or a civilian.
2. The Hulk is a destroyer.
3. The Hulk wakes up when he is angry.
4. If the Hulk wakes up, then he will break a bridge.
5. Thor is a god.
6. Thor will break a bridge when he is happy.
7. A god is not a destroyer.
8. Peter Parker wears a uniform when he is a superhero.
9. Peter Parker is not a civilian if a destroyer is breaking a bridge.
10. If Thor is happy, the Hulk is angry.

Conclusion:
If the Hulk does not wake up, then Thor is not happy.

### Assistant:
Reasoning process:
D1. From 10, 3, by hypothetical syllogism: If Thor is happy, then hulk wakes up.
D2. From D1, by transposition: If the Hulk does not wake up, then Thor is not happy.
Truth value: True",11,5,0,T,True,2,123,True,T,False,11,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Peter Parker is either a superhero or a civilian.
2. The Hulk is a destroyer.
3. The Hulk wakes up when he is angry.
4. If the Hulk wakes up, then he will break a bridge.
5. Thor is a god.
6. Thor will break a bridge when he is happy.
7. A god is not a destroyer.
8. Peter Parker wears a uniform when he is a superhero.
9. Peter Parker is not a civilian if a destroyer is breaking a bridge.
10. If Thor is happy, the Hulk is angry.

Conclusion:
If Thor is happy, then Peter Parker wears a uniform.","Reasoning process:
D1. From 10, 3, by hypothetical syllogism: If Thor is happy, then hulk wakes up.
D2. From D1, 4, by hypothetical syllogism: If Thor is happy, then hulk will break a bridge.
D3. From D2, 2, by hypothetical syllogism: If Thor is happy, then a destroyer will break a bridge.
D4. From D3, 9, by hypothetical syllogism: If Thor is happy, then Peter Parker is not a civilian
D5. From D4, 1, by NA: If Thor is happy, then Peter Parker is a superhero.
D6. From D5, 8, by hypothetical syllogism: If Thor is happy, then Peter Parker wears a uniform
Truth value: True","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Peter Parker is either a superhero or a civilian.
2. The Hulk is a destroyer.
3. The Hulk wakes up when he is angry.
4. If the Hulk wakes up, then he will break a bridge.
5. Thor is a god.
6. Thor will break a bridge when he is happy.
7. A god is not a destroyer.
8. Peter Parker wears a uniform when he is a superhero.
9. Peter Parker is not a civilian if a destroyer is breaking a bridge.
10. If Thor is happy, the Hulk is angry.

Conclusion:
If Thor is happy, then Peter Parker wears a uniform.

### Assistant:
Reasoning process:
D1. From 10, 3, by hypothetical syllogism: If Thor is happy, then hulk wakes up.
D2. From D1, 4, by hypothetical syllogism: If Thor is happy, then hulk will break a bridge.
D3. From D2, 2, by hypothetical syllogism: If Thor is happy, then a destroyer will break a bridge.
D4. From D3, 9, by hypothetical syllogism: If Thor is happy, then Peter Parker is not a civilian
D5. From D4, 1, by NA: If Thor is happy, then Peter Parker is a superhero.
D6. From D5, 8, by hypothetical syllogism: If Thor is happy, then Peter Parker wears a uniform
Truth value: True",12,5,1,T,True,6,134,True,T,False,12,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Peter Parker is either a superhero or a civilian.
2. The Hulk is a destroyer.
3. The Hulk wakes up when he is angry.
4. If the Hulk wakes up, then he will break a bridge.
5. Thor is a god.
6. Thor will break a bridge when he is happy.
7. A god is not a destroyer.
8. Peter Parker wears a uniform when he is a superhero.
9. Peter Parker is not a civilian if a destroyer is breaking a bridge.
10. If Thor is happy, the Hulk is angry.

Conclusion:
If Thor is not happy, then no bridge will be broken.","Reasoning process:
No conclusive derivation is annotated for this example.
Truth value: Uncertain","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Peter Parker is either a superhero or a civilian.
2. The Hulk is a destroyer.
3. The Hulk wakes up when he is angry.
4. If the Hulk wakes up, then he will break a bridge.
5. Thor is a god.
6. Thor will break a bridge when he is happy.
7. A god is not a destroyer.
8. Peter Parker wears a uniform when he is a superhero.
9. Peter Parker is not a civilian if a destroyer is breaking a bridge.
10. If Thor is happy, the Hulk is angry.

Conclusion:
If Thor is not happy, then no bridge will be broken.

### Assistant:
Reasoning process:
No conclusive derivation is annotated for this example.
Truth value: Uncertain",13,5,2,U,Uncertain,0,145,True,U,False,13,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Boves is a railway station located in France.
2. The preceding station of Boves is Longueau.
3. The preceding station of Dommartin is Boves.
4. France is a European country.
5. Dommartin is situated on the Paris–Lille railway.
6. Any two contiguous stations are on the same railway.
7. Boves is served by regional TER Hauts-de-France trains.
8. If place A is located in place B and place B is located in place C, then place A is located in place C.
9. If place A precedes place B and place B precedes place C, then place A precedes place C.

Conclusion:
Longueau is situated on the Paris–Lille railway.","Reasoning process:
D1. From 2, 3, by conjunction introduction: The preceding station of Dommartin is Boves and the preceding station of Boves is Longueau.
D2. From D1, 9, by modus ponens: Dommartin precedes Longueau.
D3. From D2, 5, by conjunction introduction: Dommartin precedes Longueau and is situated on the Paris–Lille railway.
D4. From D3, 6, by universal instantiation: Longueau is situated on the Paris–Lille railway.
Truth value: True","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Boves is a railway station located in France.
2. The preceding station of Boves is Longueau.
3. The preceding station of Dommartin is Boves.
4. France is a European country.
5. Dommartin is situated on the Paris–Lille railway.
6. Any two contiguous stations are on the same railway.
7. Boves is served by regional TER Hauts-de-France trains.
8. If place A is located in place B and place B is located in place C, then place A is located in place C.
9. If place A precedes place B and place B precedes place C, then place A precedes place C.

Conclusion:
Longueau is situated on the Paris–Lille railway.

### Assistant:
Reasoning process:
D1. From 2, 3, by conjunction introduction: The preceding station of Dommartin is Boves and the preceding station of Boves is Longueau.
D2. From D1, 9, by modus ponens: Dommartin precedes Longueau.
D3. From D2, 5, by conjunction introduction: Dommartin precedes Longueau and is situated on the Paris–Lille railway.
D4. From D3, 6, by universal instantiation: Longueau is situated on the Paris–Lille railway.
Truth value: True",14,6,0,T,True,4,156,True,T,False,14,nl,train
"Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Boves is a railway station located in France.
2. The preceding station of Boves is Longueau.
3. The preceding station of Dommartin is Boves.
4. France is a European country.
5. Dommartin is situated on the Paris–Lille railway.
6. Any two contiguous stations are on the same railway.
7. Boves is served by regional TER Hauts-de-France trains.
8. If place A is located in place B and place B is located in place C, then place A is located in place C.
9. If place A precedes place B and place B precedes place C, then place A precedes place C.

Conclusion:
Boves is not in Europe.","Reasoning process:
D1. From 1, by conjunction elimination: Boves is located in France.
D2. From 4, D1, by conjunction introduction: Boves is located in France, and France is located in Europe.
D3. From 8, D2, by modus ponens: Boves is a European country.
Truth value: False","### User:
Using deductive reasoning, determine whether the conclusion is True, False, or Uncertain based only on the premises. Show the reasoning process, then finish with ""Truth value:"".

Premises:
1. Boves is a railway station located in France.
2. The preceding station of Boves is Longueau.
3. The preceding station of Dommartin is Boves.
4. France is a European country.
5. Dommartin is situated on the Paris–Lille railway.
6. Any two contiguous stations are on the same railway.
7. Boves is served by regional TER Hauts-de-France trains.
8. If place A is located in place B and place B is located in place C, then place A is located in place C.
9. If place A precedes place B and place B precedes place C, then place A precedes place C.

Conclusion:
Boves is not in Europe.

### Assistant:
Reasoning process:
D1. From 1, by conjunction elimination: Boves is located in France.
D2. From 4, D1, by conjunction introduction: Boves is located in France, and France is located in Europe.
D3. From 8, D2, by modus ponens: Boves is a European country.
Truth value: False",15,6,1,F,False,3,167,True,F,False,15,nl,train
